asin,title,author,author_asin,narrator,publication_datetime,release_date,publisher_name,length,category,mp3_excerpt,overall_rating,overall_num_ratings,performance_rating,performance_num_ratings,story_rating,story_num_ratings,num_reviews,price,series_asin,series_name
B010CFKKIY,The History of the Franks,Gregory of Tours,,Charlton Griffin,2015-06-25T15:18:00Z,2015-06-25,Audio Connoisseur,1154,Literature & Fiction,https://samples.audible.com/bk/acon/000193/bk_acon_000193_sample.mp3,4.3,31,4.7,24,4.2,25,1,39.95,,
B079G8FTFJ,New Horizons,Michael Chatfield,B00WCAOQME,Tristan Morris,2018-01-31T18:07:00Z,2018-01-31,Michael Chatfield,631,Science Fiction & Fantasy,https://samples.audible.com/bk/acx0/107036/bk_acx0_107036_sample.mp3,4.8,2265,4.8,2092,4.8,2092,41,15.59,B076FH2HF9,Emerilia: A Science fiction fantasy LitRPG Series
B00938FMQC,All the Way,Michael Freedland,B001HCZC62,Simon Vance,2012-08-29T15:34:00Z,2012-08-29,"Blackstone Audio, Inc.",998,Biographies & Memoirs,https://samples.audible.com/bk/blak/005178/bk_blak_005178_sample.mp3,4.3,9,4.1,8,4.1,7,1,19.46,,
1614966109,The Mysterious Affair at Styles,Agatha Christie,B000APENBC,Deaver Brown,2019-03-27T23:28:00Z,2019-03-27,Simply Media,417,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/smag/000881/bk_smag_000881_sample.mp3,2.0,8,1.1,8,4.0,8,6,4.89,B005NAN9TG,A Hercule Poirot Mystery
B002UZX5S2,Guerilla Marketing Weapons,Jay Conrad Levinson,B000AP9J52,Barrett Whitener,2006-11-16T11:16:00Z,2006-11-16,"Blackstone Audio, Inc.",395,Business & Careers,https://samples.audible.com/bk/blak/001920/bk_blak_001920_sample.mp3,3.6,100,3.8,46,3.8,45,16,20.0,,
B00JQI2UX2,Hunter's Moon,Dana Stabenow,B000AQ3BA0,Marguerite Gavin,2014-04-17T14:44:00Z,2014-04-17,Brilliance Audio,439,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/brll/006109/bk_brll_006109_sample.mp3,4.6,371,4.7,338,4.5,339,23,20.0,B006ULBOT4,A Kate Shugak Investigation
B07Q4ZSWKM,The Hawke Fortune 1-3,Victoria Pinder,B00AULD58I,Nicole Blessing,2019-04-05T19:54:00Z,2019-04-05,Love in a Book,387,Romance,https://samples.audible.com/bk/acx0/147981/bk_acx0_147981_sample.mp3,0.0,0,0.0,0,0.0,0,0,19.95,B07KFTC6RB,The Hawke Fortune
B07BLM69KC,John F. Kennedy Presidency,The Speech Resource Company - producer,,Robert Wikstrom,2018-04-03T07:00:00Z,2018-04-03,"The Speech Resource Company, Inc.",562,History,https://samples.audible.com/bk/blak/011523/bk_blak_011523_sample.mp3,3.7,3,4.0,3,4.5,2,0,14.38,,
B078J48XK6,Beauty and the Wolf,Bridget Essex,B00IFK0WN2,Marina Barrett,2017-12-21T20:30:00Z,2017-12-21,Rose and Star Press,412,LGBTQ+,https://samples.audible.com/bk/acx0/103796/bk_acx0_103796_sample.mp3,4.6,134,4.8,125,4.5,124,8,19.95,,
B00HFA6NNQ,Buster Keaton,Marion Meade,B000AQ4FIM,Douglas R. Pratt,2013-12-26T18:21:00Z,2013-12-26,Marion Meade,756,Biographies & Memoirs,https://samples.audible.com/bk/acx0/013946/bk_acx0_013946_sample.mp3,4.6,44,4.3,41,4.7,41,7,24.95,,
B071S88ZRF,Aligned to Achieve,"Tracy Eiler,Andrea Austin",",",Anne Flosnik,2017-05-18T10:32:00Z,2017-05-18,"Gildan Media, LLC",363,Business & Careers,https://samples.audible.com/bk/gdan/002217/bk_gdan_002217_sample.mp3,4.7,6,4.8,4,4.5,4,0,24.06,,
B01EVG0ZKS,Just Kiss Me,Rachel Gibson,B001IGWXJQ,Hillary Huber,2016-07-26T07:00:00Z,2016-07-26,HarperAudio,506,Romance,https://samples.audible.com/bk/harp/005337/bk_harp_005337_sample.mp3,4.3,188,4.4,170,4.2,174,15,19.79,,
1538427710,All In,Shelley Shepard Gray,B001JP82CS,Tavia Gilbert,2019-02-12T08:00:00Z,2019-02-12,Blackstone Publishing,480,Romance,https://samples.audible.com/bk/blak/013032/bk_blak_013032_sample.mp3,4.6,690,4.7,640,4.6,636,27,13.22,B07N5ZRN3P,The Bridgeport Social Club Series
B07BFFBXWC,Platinum,K.A. Linde,B008QWI2CM,Erin Mallon,2018-04-03T08:00:00Z,2018-04-03,"Dreamscape Media, LLC",549,Romance,https://samples.audible.com/bk/drms/003310/bk_drms_003310_sample.mp3,4.7,58,4.8,56,4.6,55,1,14.03,B079SM141M,All That Glitters
B01FF01PXU,MPRE AudioLearn,AudioLearn Content Team,,Terry Rose,2016-05-12T12:30:00Z,2016-05-12,AudioLearn,806,Business & Careers,https://samples.audible.com/bk/acx0/059117/bk_acx0_059117_sample.mp3,4.1,23,4.3,19,4.2,19,2,24.95,,
B07LFHBTLS,Unboss,"Jacob Bøtter,Lars Kolind","B009ODR77I,B001IZVKK0",Roger Wayne,2019-01-01T08:00:00Z,2019-01-01,Audible Studios,477,Business & Careers,https://samples.audible.com/bk/adbl/051176/bk_adbl_051176_sample.mp3,3.9,11,4.1,8,3.8,8,0,19.95,,
146907141X,Personal Finance in Your 50s All-in-One for Dummies,Eric Tyson MBA,B000AP9UCY,Al Kessel,2019-03-26T07:00:00Z,2019-03-26,"Gildan Media, LLC",1200,Money & Finance,https://samples.audible.com/bk/gdan/003168/bk_gdan_003168_sample.mp3,3.4,5,3.0,4,3.7,3,0,25.79,,
B00GY8U44E,Like a Virgin,Richard Branson,,Adrian Mulraney,2013-12-12T08:00:00Z,2013-12-12,Penguin Audio,475,Business & Careers,https://samples.audible.com/bk/rhuk/001656/bk_rhuk_001656_sample.mp3,4.5,28,4.5,23,4.6,23,2,14.52,,
B00LBBY5HQ,The Dragon in Lyonesse,Gordon R. Dickson,B000AQ70QG,Paul Boehmer,2014-09-23T07:00:00Z,2014-09-23,Audible Studios,1174,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/018133/bk_adbl_018133_sample.mp3,4.7,97,4.8,85,4.8,86,3,29.95,B00LG7KAVK,Dragon Knight
B01ENL9MLE,Misdemeanor Trials,Milton Schacter,B078KLLGSD,Milton Schacter,2016-04-25T16:31:00Z,2016-04-25,ACX,515,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/acx0/057825/bk_acx0_057825_sample.mp3,0.0,0,0.0,0,0.0,0,0,19.95,,
B0054S6WBE,Just Business,Geraint Anderson,B0036TKL6U,Thomas Judd,2011-06-09T05:14:41Z,2011-06-09,Headline Audiobooks,463,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/head/000050/bk_head_000050_sample.mp3,4.0,1,3.0,1,4.0,1,0,15.27,,
